,alpha,g0,g1,g2,g3,iterations,genotype length
0,0.01,0.4286494521512757,0.2908552819342917,0.0780146828510474,0.2024805830633853,88,98
1,0.01,0.5383723499401792,0.2631160033495286,0.19840180488252415,0.0001098418277680141,34,91
2,0.01,0.5050292134668158,0.00013691128148959477,0.4246270429927094,0.07020683225898508,130,73
3,0.01,0.5760481274332215,0.0896841288667083,0.00012493753123438278,0.3341428061688359,108,80
4,0.01,0.999375520399667,0.0002081598667776853,0.0002081598667776853,0.0002081598667776853,55,48
5,0.01,0.5821679439604414,0.1170913889867625,0.1804925296697688,0.12024813738302735,43,106
6,0.01,0.8996334704398559,0.10012274603991009,0.00012189176011701613,0.00012189176011701613,51,82
7,0.01,0.5377348511188441,0.00012651821862348178,0.11284114009942346,0.349297490563109,46,79
8,0.01,0.4144418904870964,0.32064341283405273,0.15194089259298318,0.11297380408586749,48,77
9,0.01,0.6898987064778881,0.00012493753123438272,0.30985141845964315,0.00012493753123438272,118,80
10,0.01,0.7661955112449839,0.12928817366110423,0.00013881177123820098,0.10437750332267358,67,72
11,0.01,0.6127389434688836,0.2657983110395318,0.12135862220961872,0.00010412328196584761,37,96
12,0.01,0.5956905025394291,0.00012189176011701609,0.17936858889265328,0.22481901680780061,31,82
13,0.01,0.4113284022516919,0.3040743482947872,0.28450719181663336,9.005763688760806e-05,34,111
14,0.01,0.6571466225010987,0.23012648353838497,9.704968944099374e-05,0.11262984427107535,46,103
15,0.01,0.5882231877778082,0.10891238795073105,0.1765305216277497,0.12633390264371105,42,72
16,0.01,0.6161438538211836,0.32101866911082344,0.00011899095668729173,0.06271848611130561,55,84
17,0.01,0.7071992154591558,0.19950572602996938,0.09319408920554359,0.00010096930533117933,61,99
18,0.01,0.568414151572711,0.11321829872499509,0.00011899095668729173,0.3182485587456066,228,84
19,0.01,0.7333309709779058,0.0001175917215428034,0.08064898471068652,0.1859024525898648,62,85
20,0.01,0.5159552498262535,0.2814008231246449,0.2025478101709776,9.611687812379856e-05,35,104
21,0.01,0.6233371353429269,0.3763890420940937,0.00013691128148959474,0.00013691128148959474,99,73
22,0.01,0.4496272643234822,0.35754902600561966,0.10211188686841739,0.09071182280248077,49,76
23,0.01,0.7708481033151918,0.0001369112814895947,0.16154039308323054,0.06747459232008789,123,73
24,0.01,0.6126312760432926,0.19672228243532608,0.00011622501162250113,0.19053021650975874,58,86
25,0.01,0.12241974847375665,0.47906614817306503,0.2668501941256961,0.13166390922748217,64,87
26,0.01,0.16808246787127745,0.530340553688862,0.11840678015294902,0.1831701982869115,57,124
27,0.01,0.07973885238819792,0.7065095809280135,9.520182787509519e-05,0.21365636485591344,85,105
28,0.01,0.00011106175033318525,0.7365372059048323,0.074772527627255,0.1885792047175794,61,90
29,0.01,0.162318284916592,0.48388718407175446,0.00012651821862348178,0.3536680127930301,178,79
30,0.01,0.00018853695324283566,0.8716178569634092,0.1280050691301052,0.00018853695324283566,113,53
31,0.01,0.1746488738151602,0.6294060051039586,0.10522979316769912,0.09071532791318211,49,81
32,0.01,0.1973913852084568,0.571071611263748,0.00011230907457322551,0.2314246944532219,27,89
33,0.01,0.12026348452660403,0.7899400519492699,0.08968781511039288,0.0001086484137331595,86,92
34,0.01,0.33419033321731034,0.5264523078533124,0.13924629717904402,0.00011106175033318525,50,90
35,0.01,0.1855092564431751,0.6698006653855307,0.0001298026998961579,0.14456027547139796,34,77
36,0.01,0.16116877785574535,0.4565711790405703,0.20939311933237265,0.17286692377131166,43,98
37,0.01,0.25734101883420246,0.35904287642614313,0.25342593244769906,0.13019017229195542,36,99
38,0.01,0.00012813941568426448,0.6473057343831334,0.35243798678549787,0.00012813941568426448,41,78
39,0.01,0.15548082864175525,0.5722997771437163,0.27210708513995524,0.00011230907457322551,45,89
40,0.01,0.00011358473421172195,0.7369172770748074,0.26285555345676914,0.00011358473421172195,42,88
41,0.01,0.00013150973172014731,0.5701238106799447,0.18072407776831959,0.24902060182001562,63,76
42,0.01,0.00016382699868938407,0.7123560541292705,0.17954579417753685,0.1079343246945033,34,61
43,0.01,0.17124529649995368,0.6669013826972622,0.0001218917601170161,0.16173142904266713,39,82
44,0.01,0.10996213464679401,0.6687438148668561,0.09241384789561909,0.12888020259073085,57,81
45,0.01,0.07430770949800089,0.6045299457516762,0.19764016058753742,0.12352218416278554,86,91
46,0.01,0.41019188787672495,0.5895976744128373,0.00010521885521885521,0.00010521885521885521,46,95
47,0.01,0.00010521885521885528,0.6404762413455711,0.22575006185949706,0.13366847793971293,88,95
48,0.01,0.1472421178458504,0.4911521816832842,0.1892344263060411,0.1723712741648243,54,108
49,0.01,0.29103719753056995,0.3428785450200712,0.13684680087263973,0.22923745657671907,41,121
50,0.01,0.0001332622601279318,0.0001332622601279318,0.672750928639381,0.32698254684036304,29,75
51,0.01,0.09205009473472879,0.14537344248824166,0.5909406928726003,0.17163576990442908,59,102
52,0.01,0.37159637868350637,0.00016937669376693772,0.6280648679289598,0.00016937669376693772,23,59
53,0.01,0.00011488970588235297,0.13124934005101913,0.5785526017287387,0.29008316851435983,82,87
54,0.01,0.00015142337976983649,0.00015142337976983649,0.8642438445428094,0.13545330869765093,53,66
55,0.01,0.23354138319227383,0.09038137695573287,0.5249624568173492,0.15111478303464407,65,114
56,0.01,0.0001369112814895947,0.28795668075228487,0.5234785030926619,0.18842790487356356,21,73
57,0.01,0.26575366813648066,0.00011358473421172195,0.5768019255790131,0.15733082155029446,47,88
58,0.01,0.00014076576576576574,0.00014076576576576574,0.9296509433778235,0.07006752509064491,54,71
59,0.01,0.00012493753123438278,0.31146702005874877,0.5411342411090757,0.14727380130094106,31,80
60,0.01,0.00010199918400652795,0.21783738607011988,0.45153259844231225,0.3305280163035613,62,98
61,0.01,0.00013506212857914638,0.3859593692831383,0.2715964917328846,0.3423090768553979,22,74
62,0.01,0.42766970572170243,0.00016382699868938398,0.5720026402809187,0.00016382699868938398,25,61
63,0.01,0.21607130258321094,0.22975271703263192,0.4149325560817085,0.13924342430244865,37,92
64,0.01,0.00011230907457322552,0.14056326498776778,0.6039584230337263,0.25536600290393274,35,89
65,0.01,0.12965044704132714,0.1206906588219174,0.44677859032925105,0.30288030380750436,46,78
66,0.01,0.32885576373724906,0.00012042389210019265,0.5638044624295915,0.10721934994105925,49,83
67,0.01,0.23981398192421496,0.1651781268320828,0.49803505447435803,0.09697283676934434,53,64
68,0.01,0.2083148875168877,0.00012980269989615786,0.7068433967944167,0.0847119129887995,55,77
69,0.01,0.12712054143134002,0.00010305028854080786,0.6299527630095509,0.24282364527056824,73,97
70,0.01,9.087604507451834e-05,0.2961832275176796,0.4772183528421507,0.2265075435950952,44,110
71,0.01,0.00013691128148959477,0.3813686083304509,0.6183575691065699,0.00013691128148959477,36,73
72,0.01,0.00013326226012793174,0.00013326226012793174,0.610731508275825,0.38900196720391905,34,75
73,0.01,0.07100310693530662,0.35287891126967175,0.4511455701034084,0.12497241169161336,111,94
74,0.01,0.1869020438217708,0.22723116129820922,0.5022056588505177,0.08366113602950243,58,96
75,0.01,0.1547392284635716,0.1574791576967021,0.00015142337976983643,0.6876301904599564,32,66
76,0.01,0.34863703629148657,0.0001561524047470331,0.0001561524047470331,0.6510506588990194,32,64
77,0.01,0.16269456269271484,0.00010633772862611654,0.32865116744187306,0.508547932136786,39,94
78,0.01,0.29651677925199516,0.00010633772862611652,0.08263559271448856,0.6207412903048901,63,94
79,0.01,0.06726021384737144,0.00013506212857914646,0.12586397486719653,0.8067407491568529,70,74
80,0.01,0.38325446881044506,9.00576368876081e-05,0.15168152933393061,0.4649739442187367,35,111
81,0.01,0.2151819944771912,0.21278553404560316,0.18378544795598717,0.38824702352121854,31,101
82,0.01,0.00012189176011701609,0.18790587038416567,0.12502188397654157,0.6869503538791758,45,82
83,0.01,8.925383791503035e-05,0.24706702185249688,0.09418560764345742,0.6586581166661307,35,112
84,0.01,0.00013326226012793182,0.00013326226012793182,0.21771285232140547,0.7820206231583386,33,75
85,0.01,0.08174833644286517,0.15862882372264409,0.00015615240474703312,0.7594666874297437,55,64
86,0.01,0.31959014047317386,0.00012651821862348178,0.00012651821862348178,0.6801568230895791,54,79
87,0.01,0.11678227999120191,0.09271063132481538,0.31791740668104984,0.4725896820029329,86,112
88,0.01,0.1734913568000195,0.00011106175033318526,0.23495562283042057,0.5914419586192267,52,90
89,0.01,0.26370467881568493,0.00011488970588235295,0.3323385643817968,0.403841867096636,35,87
90,0.01,0.00010633772862611652,0.26062363539300154,0.2394127939378653,0.49985723294050693,54,94
91,0.01,0.2022551818013995,0.10258047420922105,0.13158570138729794,0.5635786426020815,38,91
92,0.01,0.12175119893233646,0.00013326226012793174,0.3053184170035987,0.572797121803937,34,75
93,0.01,0.28590527959766393,0.0001298026998961578,0.0001298026998961578,0.7138351150025436,345,77
94,0.01,0.2570692295673394,0.00012042389210019265,0.17215347145442,0.5706568750861403,46,83
95,0.01,0.06031956074781599,0.12253640231427636,0.13714021971869636,0.6800038172192113,186,89
96,0.01,0.20518169715571793,0.0001218917601170161,0.23029282211730281,0.5644035889668623,34,82
97,0.01,0.08600273612680527,0.08911516515456304,0.08548480194658123,0.7393972967720506,67,84
98,0.01,0.16681277252653778,0.20707724463432545,0.1546802809563866,0.4714297018827502,39,65
99,0.01,0.15135455271521991,0.12239187131364102,0.199987962251426,0.526265613719713,33,114
100,0.1,0.42281922105377834,0.28798639929970277,0.08658419995389488,0.20261017969262396,70,98
101,0.1,0.5354334729490864,0.2635266918253294,0.19994540784585685,0.0010944273797273008,35,91
102,0.1,0.49500070249947,0.0013628277589910222,0.41663831268212065,0.08699815705941837,71,73
103,0.1,0.5677279245407189,0.09792979471555133,0.0012442251717283562,0.33309805557200145,148,80
104,0.1,0.9937995179537676,0.0020669148413412193,0.0020666007584747388,0.0020669664464164125,351,48
105,0.1,0.5780018330748554,0.11943312006571348,0.18094882674928467,0.1216162201101464,42,106
106,0.1,0.8923288863940501,0.10524315109201972,0.001213958961602889,0.0012140035523273583,55,82
107,0.1,0.5329757601100849,0.001259863152818155,0.11819261851897168,0.3475717582181252,50,79
108,0.1,0.4106524261323447,0.31804007291197833,0.15392806686110275,0.11737943409457412,44,77
109,0.1,0.6375828938343495,0.08843715113354791,0.2727356638997743,0.0012442911323282987,139,80
110,0.1,0.7572004998664446,0.13314599930180263,0.0013816937278936852,0.10827180710385918,74,72
111,0.1,0.6089239246551233,0.2654958042927993,0.1245426232674637,0.0010376477846136922,34,96
112,0.1,0.5915894710044117,0.0012139031903325658,0.181314201922064,0.22588242388319177,31,82
113,0.1,0.41022542677077584,0.30411479837624916,0.28476183684500705,0.000897938007967852,35,111
114,0.1,0.6526263977579462,0.2312141560081497,0.0009674274226579683,0.1151920188112461,50,103
115,0.1,0.5796659262582597,0.11285689571386791,0.17861599881481016,0.12886117921306217,41,72
116,0.1,0.6093450587489638,0.31952949238930917,0.001185164397241921,0.06994028446448484,46,84
117,0.1,0.7014980003640814,0.19911644712997079,0.0983792441306992,0.001006308375248591,55,99
118,0.1,0.5145384017218226,0.10926076562917857,0.07615905776988453,0.30004177487911415,83,84
119,0.1,0.725672000998709,0.0011712211342223575,0.08778500504237856,0.18537177282469017,52,85
120,0.1,0.5137699080204046,0.28144264743698727,0.20382928204046113,0.0009581625021470076,36,104
121,0.1,0.5500764265998507,0.32135374938326944,0.0741792999853871,0.05439052403149269,115,73
122,0.1,0.44504914255760375,0.35309074797441803,0.1068197689615282,0.09504034050644991,45,76
123,0.1,0.7301521491604748,0.07278844089564213,0.13307078148815052,0.0639886284557326,161,73
124,0.1,0.6083484358456842,0.19841434571984462,0.0011578079155161241,0.19207941051895497,72,86
125,0.1,0.12676187008315773,0.47454347865862045,0.26563844439204826,0.13305620686617364,59,87
126,0.1,0.16875054015672797,0.526544060685039,0.12132496669212713,0.183380432466106,54,124
127,0.1,0.08758836987293919,0.6999050262861893,0.000949048060576624,0.21155755578029498,69,105
128,0.1,0.001106480206504568,0.7293689359372926,0.08143243580554074,0.1880921480506622,53,90
129,0.1,0.13557339246232378,0.4584795601331795,0.06776530962626735,0.3381817377782293,73,79
130,0.1,0.0018732286076985028,0.8193840966153318,0.10752707156088358,0.07121560321608611,54,53
131,0.1,0.17408179610943228,0.6232172616739314,0.10779750110081197,0.0949034411158244,44,81
132,0.1,0.19887451943988466,0.5681366794244331,0.0011188971991147908,0.2318699039365675,30,89
133,0.1,0.12438765914821592,0.7806398181283067,0.09388990494873575,0.001082617774741594,74,92
134,0.1,0.3335395780959406,0.5236241487199224,0.14172966904466056,0.0011066041394765984,63,90
135,0.1,0.18760087485287094,0.6639621595973703,0.0012923557924896568,0.14714460975726912,34,77
136,0.1,0.16298909526948202,0.4538787751894883,0.20965566679571884,0.17347646274531084,42,98
137,0.1,0.2567240753354518,0.35770861181505975,0.253293778987606,0.1322735338618824,35,99
138,0.1,0.0012759909213571107,0.6448696347521199,0.35257851972956983,0.001275854596953222,53,78
139,0.1,0.15807948984718867,0.5690393210212152,0.27176222071304007,0.0011189684185560107,47,89
140,0.1,0.0011315461435394659,0.7337104630301167,0.26402635199357294,0.001131638832770808,60,88
141,0.1,0.0013093520804846163,0.566768270177842,0.18281517257103666,0.24910720517063673,80,76
142,0.1,0.001629272887293329,0.7061188843533148,0.18001158260558306,0.11224026015380885,34,61
143,0.1,0.1730491572432259,0.6623196674698347,0.0012139858051443343,0.163417189481795,40,82
144,0.1,0.11314175776751427,0.6615889098505646,0.09517516747919287,0.13009416490272827,51,81
145,0.1,0.0824861032366517,0.5969508333496425,0.1960818837559948,0.12448117965771113,67,91
146,0.1,0.40992741863136856,0.5879754555505113,0.0010486170999246549,0.001048508718195359,59,95
147,0.1,0.0010486002915237036,0.6370539240393758,0.22621608758815923,0.13568138808094127,186,95
148,0.1,0.14973590707822482,0.48748817881131656,0.18997924711284153,0.17279666699761717,51,108
149,0.1,0.29020316485846887,0.3415610132112377,0.13880818097793646,0.22942764095235696,40,121
150,0.1,0.001326697536128425,0.0013267040650920563,0.6698519881436669,0.3274946102551127,31,75
151,0.1,0.09612834098500428,0.14559689299281378,0.586667998381804,0.17160676764037786,53,102
152,0.1,0.37147094318646495,0.001683992983464841,0.6251610693949158,0.0016839944351544373,24,59
153,0.1,0.0011445785820224474,0.13594834147705448,0.5739001262643526,0.2890069536765704,107,87
154,0.1,0.0015065702838580686,0.0015066549932949709,0.8582803129240605,0.13870646179878646,100,66
155,0.1,0.23176847295914127,0.09464886430006152,0.5217675896380829,0.1518150731027144,59,114
156,0.1,0.0013627369244329232,0.2879190792670875,0.5207327093175028,0.18998547449097675,21,73
157,0.1,0.2653666644972537,0.0011315732533905523,0.5734623560959391,0.1600394061534167,46,88
158,0.1,0.0014011132975116126,0.001400889006236514,0.9217956707190069,0.07540232697724496,70,71
159,0.1,0.001244149216674189,0.3108505134026485,0.5382202944730203,0.14968504290765697,33,80
160,0.1,0.0010166187854918083,0.2192146228483819,0.4497181237194927,0.3300506346466337,77,98
161,0.1,0.0013444397799566709,0.3846948960048049,0.2721193373190549,0.34184132689618363,22,74
162,0.1,0.42703779556000016,0.001629044973866081,0.5697040655733876,0.0016290938927462622,25,61
163,0.1,0.21615797802137868,0.22980077201020227,0.41255142586839694,0.14148982410002203,35,92
164,0.1,0.0011189442213103552,0.1438205573292743,0.5997093590956701,0.2553511393537452,40,89
165,0.1,0.13248240947047937,0.12321902309921066,0.44337422180363706,0.3009243456266729,43,78
166,0.1,0.3274787427069345,0.001199453390080462,0.5597266803376146,0.1115951235653705,50,83
167,0.1,0.23732133726355184,0.16669016658546432,0.49226202043511014,0.10372647571587365,46,64
168,0.1,0.20733344310561938,0.001292359885242765,0.7004755408421945,0.09089865616694329,49,77
169,0.1,0.13052193273292353,0.0010270584454925356,0.6257207884457712,0.24273022037581274,95,97
170,0.1,0.0009061010702284157,0.2962324970378908,0.47560408171274837,0.2272573201791325,49,110
171,0.1,0.00136285542457977,0.38116187322219797,0.6161124499193009,0.001362821433921328,40,73
172,0.1,0.0013267430751341914,0.0013266550560883483,0.6086428941018837,0.38870370776689367,44,75
173,0.1,0.08064620504877573,0.3477527332608333,0.4474467149232546,0.12415434676713641,78,94
174,0.1,0.18638200900318816,0.22665295704367103,0.49824014019797885,0.08872489375516208,51,96
175,0.1,0.1574401513985179,0.16016979381337115,0.0015064399364075204,0.6808836148517035,31,66
176,0.1,0.34895836088541493,0.0015533394673323282,0.001553343550279516,0.6479349560969734,34,64
177,0.1,0.16529436948106951,0.001059602969979725,0.32762102770867296,0.5060249998402778,38,94
178,0.1,0.2928986120193378,0.001059722081633846,0.08941776570997449,0.6166239001890538,96,94
179,0.1,0.07641043043397579,0.001344490206546326,0.12656938181253768,0.7956756975469402,55,74
180,0.1,0.38215889430240085,0.0008979160064249545,0.1537719584135601,0.463171231277614,33,111
181,0.1,0.21548620374983532,0.2131562064039336,0.18478111070110276,0.3865764791451284,30,101
182,0.1,0.0012139142819513214,0.1878274190637573,0.12844640068264573,0.6825122659716457,42,82
183,0.1,0.0008899755325945047,0.24686838340991074,0.0965967759033461,0.6556448651541487,38,112
184,0.1,0.001326733591829585,0.0013267085573598026,0.21922088112230356,0.7781256767285072,36,75
185,0.1,0.08921909731286606,0.15964347492489597,0.001553350308586839,0.7495840774536512,53,64
186,0.1,0.3199062280140108,0.0012599553099657311,0.0012599234753320277,0.6775738932006914,94,79
187,0.1,0.11742809808180482,0.09758686184457684,0.31558906847019874,0.46939597160341956,74,112
188,0.1,0.17509968812772447,0.001106576974101315,0.23538490315998156,0.5884088317381926,61,90
189,0.1,0.26424802460414115,0.0011445151745528687,0.33187126005927386,0.4027362001620321,37,87
190,0.1,0.0010596925113375334,0.26083322370088224,0.23998206306948605,0.4981250207182941,68,94
191,0.1,0.2019150028683068,0.10535901734136818,0.13362605401031194,0.5590999257800131,37,91
192,0.1,0.12605623095966031,0.001326678600574831,0.3034441586564513,0.5691729317833135,29,75
193,0.1,0.23279138034794428,0.08999935563380265,0.0012924128378708727,0.6759168511803821,87,77
194,0.1,0.25709880540784275,0.0011994431263642109,0.17418195128412015,0.5675198001816728,48,83
195,0.1,0.07561040453925214,0.12101215342674114,0.13486124388537926,0.6685161981486274,83,89
196,0.1,0.20706216687835885,0.0012139067932824407,0.23061085458910777,0.561113071739251,33,82
197,0.1,0.08921305587510822,0.09103558801489689,0.09017832650251495,0.7295730296074799,53,84
198,0.1,0.16888136979330293,0.20745055860325673,0.15611000939978265,0.46755806220365775,37,65
199,0.1,0.15243048547070623,0.12407296517601483,0.20010236424444014,0.5233941851088387,33,114
200,1.0,0.39026930928523623,0.2770964090729717,0.12489508700945233,0.20773919463233953,38,98
201,1.0,0.4906759626160724,0.247855773229339,0.199051671119803,0.06241659303478572,42,91
202,1.0,0.42660343596605077,0.08147019413269774,0.3578235781064714,0.13410279179478007,41,73
203,1.0,0.46249718701071385,0.1199419722363819,0.11475685544463551,0.30280398530826874,38,80
204,1.0,0.7246664053997302,0.1507673074701909,0.03921461911362347,0.08535166801645544,31,48
205,1.0,0.5417819289731979,0.1379334321837407,0.1863142120000995,0.13397042684296187,32,106
206,1.0,0.7373521097812905,0.11436319749724758,0.05372736904941558,0.09455732367204621,39,82
207,1.0,0.46858129202792187,0.07293017387914957,0.1292404688527067,0.3292480652402218,33,79
208,1.0,0.3825488919929144,0.3012106550448527,0.17110736800654835,0.1451330849556845,29,77
209,1.0,0.5369967295492933,0.13249408714030217,0.2500857052607129,0.08042347804969166,44,80
210,1.0,0.6330097963943604,0.13453845262954237,0.10865289751896402,0.12379885345713323,33,72
211,1.0,0.5506148170771217,0.2636262606158304,0.14086026779680558,0.04489865451024225,39,96
212,1.0,0.5423497672163945,0.03536832932451042,0.192140987311893,0.23014091614720197,32,82
213,1.0,0.37971164570256705,0.29075135523843015,0.28647828812247755,0.043058710936525114,37,111
214,1.0,0.5788376724020057,0.21295842548716204,0.07716033433772052,0.13104356777311182,46,103
215,1.0,0.5145459399413017,0.14125609720980803,0.1952657519218714,0.14893221092701875,33,72
216,1.0,0.5535186724919989,0.3053589817822256,0.040334947496324124,0.1007873982294512,32,84
217,1.0,0.6428472289466257,0.19667499522664667,0.12768905941168593,0.032788716415041705,34,99
218,1.0,0.4478310096144611,0.1410828697463649,0.1240201135762724,0.28706600706290153,39,84
219,1.0,0.668503766653161,0.024604163286467907,0.12039420087115697,0.18649786918921402,29,85
220,1.0,0.4738910860178401,0.2640708568927917,0.207653684163889,0.054384372925479145,35,104
221,1.0,0.4769615827155868,0.28923137958663764,0.13395618112679344,0.09985085657098208,35,73
